entry_time,entry_price,side,amount,sl,tp,reason,status,strategy,exit_time,exit_price,exit_reason,pnl
1741644000000,1880.28,sell,0.36601211500100606,2153.4950000000003,1060.6349999999989,"策略A: 密集向下突破确认 (连续2根, Low: 2001.79)",CLOSED,A,1746734400000.0,2153.4950000000003,STOP_LOSS,-100.0
1741737600000,1911.21,sell,1.962077481145037,1962.174633117009,1758.316100648973,"策略B: 下跌反弹MA20受阻 (MA20: 1915.33, ATR: 31.23)",CLOSED,B,1742378400000.0,1962.174633117009,STOP_LOSS,-99.99655897370204
1743300000000,1838.75,sell,3.68577643651004,1865.8700511860884,1757.3898464417348,"策略B: 下跌反弹MA20受阻 (MA20: 1841.01, ATR: 16.57)",CLOSED,B,1743487200000.0,1865.8700511860884,STOP_LOSS,-99.95844561863079
1744099200000,1567.0,sell,2.605772407256625,1605.3342473481648,1451.9972579555056,"策略B: 下跌反弹MA20受阻 (MA20: 1567.62, ATR: 25.14)",CLOSED,B,1744149600000.0,1451.9972579555056,TAKE_PROFIT,299.6709719783949
1744196400000,1455.59,sell,1.9135466743625344,1507.7710065554288,1299.0469803337132,"策略B: 下跌反弹MA20受阻 (MA20: 1464.95, ATR: 28.55)",CLOSED,B,1744214400000.0,1507.7710065554288,STOP_LOSS,-99.85079155903057
1745424000000,1792.51,buy,2.0435913158923036,1743.6633994607462,1939.0498016177614,"策略B: 上涨回踩MA20确认 (MA20: 1785.35, ATR: 27.79)",CLOSED,B,1745481600000.0,1743.6633994607462,STOP_LOSS,-99.8224886728794
1746738000000,2179.91,buy,0.2899109584770013,1835.7269166666667,3212.459249999999,"策略A: 密集向上突破确认 (连续2根, High: 1956.74)",CLOSED,A,1752674400000.0,3212.459249999999,TAKE_PROFIT,299.3473427422086
1746806400000,2298.36,buy,0.8968601231566273,2187.105987132797,2632.1220386016093,"策略B: 上涨回踩MA20确认 (MA20: 2275.79, ATR: 59.12)",CLOSED,B,1747159200000.0,2632.1220386016093,TAKE_PROFIT,299.33786304524625
1749643200000,2805.14,buy,1.5547523511248091,2740.977364110449,2997.627907668653,"策略B: 上涨回踩MA20确认 (MA20: 2782.14, ATR: 27.44)",CLOSED,B,1749711600000.0,2740.977364110449,STOP_LOSS,-99.75700900364446
1752253200000,2993.53,buy,1.4249950471119903,2923.555092468997,3203.45472259301,"策略B: 上涨回踩MA20确认 (MA20: 2979.15, ATR: 37.06)",CLOSED,B,1752271200000.0,2923.555092468997,STOP_LOSS,-99.71389665379918
1752310800000,2974.06,buy,2.612727981835165,2935.911541788328,3088.5053746350154,"策略B: 上涨回踩MA20确认 (MA20: 2968.04, ATR: 21.42)",CLOSED,B,1752321600000.0,2935.911541788328,STOP_LOSS,-99.67154423350446
1752699600000,3374.27,buy,0.28601562371808464,3026.0739166666667,4418.858249999999,"策略A: 密集向上突破确认 (连续2根, High: 3226.99)",CLOSED,A,1755000000000.0,4418.858249999999,TAKE_PROFIT,298.7685598523323
1752771600000,3424.01,buy,1.1159378484448867,3334.7714329777773,3691.725701066669,"策略B: 上涨回踩MA20确认 (MA20: 3402.12, ATR: 44.90)",CLOSED,B,1752980400000.0,3691.725701066669,TAKE_PROFIT,298.7540834432528
1753048800000,3747.85,buy,1.0602205766638808,3653.9589906032134,4029.5230281903596,"策略B: 上涨回踩MA20确认 (MA20: 3725.42, ATR: 47.64)",CLOSED,B,1753156800000.0,3653.9589906032134,STOP_LOSS,-99.5451801262149
1754794800000,4242.64,buy,1.2531937264604185,4163.238122470375,4480.8456325888765,"策略B: 上涨回踩MA20确认 (MA20: 4236.19, ATR: 48.63)",CLOSED,B,1754812800000.0,4163.238122470375,STOP_LOSS,-99.505934789305
1754841600000,4233.21,buy,1.5961649225180095,4170.902543947508,4420.132368157476,"策略B: 上涨回踩MA20确认 (MA20: 4231.86, ATR: 40.64)",CLOSED,B,1754913600000.0,4170.902543947508,STOP_LOSS,-99.45297576232008
1755054000000,4646.75,buy,0.23254032056317092,4219.38541823831,5928.843745285069,"策略A: 密集向上突破确认 (连续2根, High: 4492.39)",CLOSED,A,1755572400000.0,4219.38541823831,STOP_LOSS,-99.37949684020882
1755151200000,4775.0,buy,0.7422129671853731,4641.111078019314,5176.666765942058,"策略B: 上涨回踩MA20确认 (MA20: 4719.65, ATR: 52.36)",CLOSED,B,1755172800000.0,4641.111078019314,STOP_LOSS,-99.37409405653592
1755914400000,4715.26,buy,0.24610691640527366,4311.636583333334,5926.130249999999,"策略A: 密集向上突破确认 (连续2根, High: 4624.14)",CLOSED,A,1756170000000.0,4311.636583333334,STOP_LOSS,-99.3345144647942
1755932400000,4713.17,buy,1.1309451788975298,4625.3419478294,4976.6541565118005,"策略B: 上涨回踩MA20确认 (MA20: 4711.70, ATR: 57.57)",CLOSED,B,1756101600000.0,4625.3419478294,STOP_LOSS,-99.32871217430095
1760137200000,3822.49,sell,0.15331042315415694,4470.002583333334,1879.9522499999975,"策略A: 密集向下突破确认 (连续2根, Low: 4170.93)",OPEN,A,,,,
1760191200000,3814.2,sell,0.90685276419712,3923.66374310119,3485.8087706964293,"策略B: 下跌反弹MA20受阻 (MA20: 3828.21, ATR: 63.64)",CLOSED,B,1760277600000.0,3923.66374310119,STOP_LOSS,-99.26749801067774
