SQUEEZE_PERCENTILE,SQUEEZE_LOOKBACK,BREAKOUT_BARS,BREAKOUT_THRESHOLD,ATR_MULTIPLIER,TP_RATIO,RISK_PER_TRADE,total_return,win_rate,profit_factor,max_drawdown,total_trades,final_balance,score
30,20,2,0.003,2.0,3.0,0.02,25.948075018884502,46.666666666666664,2.626878115175262,4.522074926659986,15,12594.80750188845,53.02
30,20,2,0.002,2.0,3.0,0.02,25.948075018884502,46.666666666666664,2.626878115175262,4.522074926659986,15,12594.80750188845,53.02
30,20,1,0.003,1.5,3.0,0.02,19.97369191385895,50.0,3.0018347326755626,3.2138232112945184,10,11997.369191385895,52.03
30,20,1,0.002,1.5,3.0,0.02,19.97369191385895,50.0,3.0018347326755626,3.2138232112945184,10,11997.369191385895,52.03
30,20,2,0.005,2.0,3.0,0.02,23.963128883549143,43.75,2.336142683174645,6.0268104167081304,16,12396.312888354914,50.9
15,20,3,0.005,2.0,4.0,0.02,35.981617237830505,30.0,1.6679791198868261,9.232908613353723,40,13598.16172378305,50.62
15,20,3,0.002,2.0,4.0,0.02,35.982141534217156,30.0,1.6680112580658881,9.232555811472686,40,13598.214153421715,50.62
15,20,2,0.005,2.0,4.0,0.02,38.793290087451716,29.545454545454547,1.6507920443925412,13.279143017747117,44,13879.329008745171,50.4
15,20,2,0.002,2.0,4.0,0.02,38.793290087451716,29.545454545454547,1.6507920443925412,13.279143017747117,44,13879.329008745171,50.4
15,20,3,0.003,2.0,4.0,0.02,35.11318550087641,30.0,1.6518732803362257,9.286531248543632,40,13511.31855008764,50.26
15,20,2,0.003,2.0,4.0,0.02,37.92411092929397,29.545454545454547,1.6361897144766409,13.352078587441824,44,13792.411092929397,50.03
30,20,1,0.005,1.5,2.0,0.02,13.50864567496701,50.0,1.968090488671377,2.0,14,11350.864567496701,49.8
30,20,1,0.005,1.5,3.0,0.02,18.21242278155205,45.45454545454545,2.5514508823323085,4.634688926874399,11,11821.242278155205,49.53
30,20,2,0.003,2.0,4.0,0.02,23.956421913181384,38.46153846153847,2.501362757486803,5.999023588624604,13,12395.642191318138,49.32
30,20,2,0.002,2.0,4.0,0.02,23.956421913181384,38.46153846153847,2.501362757486803,5.999023588624604,13,12395.642191318138,49.32
30,20,2,0.005,2.0,2.0,0.02,15.95729014670025,47.368421052631575,1.8009937215581264,4.882975552400973,19,11595.729014670025,49.13
25,20,1,0.002,2.0,3.0,0.02,19.64542275221369,41.17647058823529,1.9860314745764278,4.981209358408049,17,11964.542275221369,48.72
25,20,1,0.003,2.0,3.0,0.02,19.64542275221369,41.17647058823529,1.9860314745764278,4.981209358408049,17,11964.542275221369,48.72
30,20,1,0.005,2.0,2.0,0.02,11.980762128027127,50.0,2.000383248183965,3.696948231432743,12,11198.076212802713,48.68
30,20,1,0.003,1.5,3.0,0.01,9.99342227608451,50.0,3.0009176963141444,1.782258695844035,10,10999.342227608451,48.46
30,20,1,0.002,1.5,3.0,0.01,9.99342227608451,50.0,3.0009176963141444,1.782258695844035,10,10999.342227608451,48.46
30,20,2,0.003,2.0,3.0,0.01,12.987016972059665,46.666666666666664,2.6259401559268976,2.5791833556124653,15,11298.701697205966,48.42
30,20,2,0.002,2.0,3.0,0.01,12.987016972059665,46.666666666666664,2.6259401559268976,2.5791833556124653,15,11298.701697205966,48.42
30,20,3,0.003,2.0,4.0,0.02,21.989805067090018,35.714285714285715,2.2255786640955826,6.122617732286311,14,12198.980506709002,47.67
30,20,2,0.005,2.0,4.0,0.02,21.97025455992671,35.714285714285715,2.22447312902229,6.122735430822536,14,12197.02545599267,47.67
30,20,3,0.005,2.0,4.0,0.02,21.989805067090018,35.714285714285715,2.2255786640955826,6.122617732286311,14,12198.980506709002,47.67
30,20,3,0.002,2.0,4.0,0.02,21.989805067090018,35.714285714285715,2.2255786640955826,6.122617732286311,14,12198.980506709002,47.67
30,20,1,0.005,1.5,2.0,0.01,6.9914159058903165,50.0,2.0004312218659863,1.0,14,10699.141590589032,47.5
30,20,1,0.002,2.0,3.0,0.02,13.990447444385753,44.44444444444444,2.401200405879397,4.989237081530222,9,11399.044744438575,47.43
30,20,1,0.003,2.0,3.0,0.02,13.990447444385753,44.44444444444444,2.401200405879397,4.989237081530222,9,11399.044744438575,47.43
25,20,1,0.005,2.0,3.0,0.02,17.79460503954055,38.88888888888889,1.8186512926360272,5.8279348120411845,18,11779.460503954055,47.04
30,20,2,0.005,2.0,3.0,0.01,11.99078672962978,43.75,2.3347389322452106,3.438163142709204,16,11199.078672962978,46.89
30,20,3,0.002,2.0,3.0,0.02,17.99438908857963,40.0,2.0031416000604145,7.773054040185172,15,11799.438908857963,46.87
30,20,3,0.003,2.0,3.0,0.02,17.99438908857963,40.0,2.0031416000604145,7.773054040185172,15,11799.438908857963,46.87
30,20,3,0.005,2.0,3.0,0.02,17.994429812413053,40.0,2.003146147704023,7.773022209563278,15,11799.442981241305,46.87
30,20,1,0.005,2.0,2.0,0.01,5.995189117230511,50.0,2.0001918104899894,1.9212855939293734,12,10599.518911723051,46.82
30,20,1,0.002,1.5,2.0,0.02,9.986477388436231,46.15384615384615,1.7155771765673522,3.489663126127359,13,10998.647738843623,46.79
30,20,1,0.003,1.5,2.0,0.02,9.986477388436231,46.15384615384615,1.7155771765673522,3.489663126127359,13,10998.647738843623,46.79
30,20,2,0.002,2.0,2.0,0.02,11.977864335659142,44.44444444444444,1.6010933342527442,5.051714315299326,18,11197.786433565914,46.61
30,20,2,0.003,2.0,2.0,0.02,11.977864335659142,44.44444444444444,1.6010933342527442,5.051714315299326,18,11197.786433565914,46.61
30,20,2,0.005,2.0,2.0,0.01,7.989321127104704,47.368421052631575,1.8004979419733254,2.692607916706161,19,10798.93211271047,46.6
25,20,2,0.003,2.0,2.0,0.02,13.587157710260344,42.30769230769231,1.4556769370212126,5.550393506477696,26,11358.715771026034,46.46
30,20,3,0.005,2.0,2.0,0.02,11.976673527867078,44.44444444444444,1.6009292394634098,5.546068855828464,18,11197.667352786708,46.46
30,20,3,0.003,2.0,2.0,0.02,11.976673527867078,44.44444444444444,1.6009292394634098,5.546068855828464,18,11197.667352786708,46.46
25,20,2,0.005,2.0,2.0,0.02,13.587157710260344,42.30769230769231,1.4556769370212126,5.550393506477696,26,11358.715771026034,46.46
30,20,3,0.002,2.0,2.0,0.02,11.976673527867078,44.44444444444444,1.6009292394634098,5.546068855828464,18,11197.667352786708,46.46
30,20,1,0.005,1.5,3.0,0.01,8.995972079085169,45.45454545454545,2.501363113224923,2.6729238227710237,11,10899.597207908517,46.43
20,20,3,0.003,2.0,3.0,0.02,22.29836558227307,33.33333333333333,1.4377885392817353,8.956158595791987,39,12229.836558227307,46.23
20,20,3,0.002,2.0,3.0,0.02,22.29836558227307,33.33333333333333,1.4377885392817353,8.956158595791987,39,12229.836558227307,46.23
30,20,2,0.002,2.0,5.0,0.02,21.95563970749272,30.76923076923077,2.222937566118214,5.999023588624604,13,12195.563970749272,46.21
30,20,2,0.003,2.0,5.0,0.02,21.95563970749272,30.76923076923077,2.222937566118214,5.999023588624604,13,12195.563970749272,46.21
25,20,1,0.002,2.0,3.0,0.01,10.986659512900406,41.17647058823529,2.1008342931997266,2.647933022267505,17,11098.66595129004,45.95
25,20,1,0.003,2.0,3.0,0.01,10.986659512900406,41.17647058823529,2.1008342931997266,2.647933022267505,17,11098.66595129004,45.95
20,20,3,0.005,2.0,3.0,0.02,21.528700099265716,33.33333333333333,1.4226688010751392,9.010667935512991,39,12152.870009926572,45.91
30,20,1,0.002,2.0,2.0,0.02,7.992280652280952,45.45454545454545,1.6672566229492194,3.696948231432743,11,10799.228065228095,45.72
30,20,1,0.003,2.0,2.0,0.02,7.992280652280952,45.45454545454545,1.6672566229492194,3.696948231432743,11,10799.228065228095,45.72
25,20,3,0.002,2.0,2.0,0.02,12.938595733632955,42.30769230769231,1.4339917501571309,7.269093439940236,26,11293.859573363296,45.69
25,20,3,0.003,2.0,2.0,0.02,12.938595733632955,42.30769230769231,1.4339917501571309,7.269093439940236,26,11293.859573363296,45.69
